Name,CHINA LAKE NAVAL AIR WEAPONS STATION,CORONADO NAVAL AMPHIBIOUS BASE,EL CENTRO NAVAL AIR FACILITY,LEMOORE NAS,MONTEREY NAVAL POSTGRADUATE SCHOOL,NORTH ISLAND NAS,FLEET ANTISUBMARINE WARFARE TRAINING CENTER,POINT MUGU NAVAL AIR STATION,PORT HUENEME NAVAL CONSTRUCTION BATTALION CENTER,SAN DIEGO NAVAL MEDICAL CENTER,SAN DIEGO NS,SANTA CLARA NAVAL AIR RESERVE,NEW LONDON NAVAL SUBMARINE BASE,WASHINGTON NAVY YARD,CORRY STATION,JACKSONVILLE NAS,KEY WEST NAS,MAYPORT NAVAL STATION,US Naval Diving & Salvage Training Center,PENSACOLA NAS,PENSACOLA NAVAL HOSPITAL,WHITING FIELD NAS,KINGS BAY NAVAL SUBMARINE BASE,NAVAL COMPUTER TELECOMM AREA MSTR STATN,PEARL HARBOR NAVAL COMPLEX,GREAT LAKES NAVAL TRAINING CENTER,"NEW ORLEANS NAS, JOINT RESERVE BASE",NEW ORLEANS NAVAL SUPPORT ACTIVITY,BRUNSWICK NAS,WINTER HARBOR NAVAL SECURITY GROUP ACTIVITY,ANNAPOLIS NS,BETHESDA NATIONAL NAVAL MEDICAL CENTER,PATUXENT RIVER NAS,U.S. NAVAL ACADEMY,GULFPORT NAVAL CONSTRUCTION BATTALION CENTER,MERIDIAN NAS,FALLON NAS,PORTSMOUTH NAVAL SHIPYARD,EARLE NAVAL WEAPONS STATION,NEWPORT NAVAL EDUCATION AND TRAINING CENTER,BEAUFORT NAVAL HOSPITAL,NAVAL BASE CHARLESTON,Naval Support Activity Mid-South,CORPUS CHRISTI NAS,"FORT WORTH NAS, JOINT RESERVE BASE",KINGSVILLE NAS,"NAVAL SURFACE WARFARE CENTER, DAHLGREN DIVISION","DAM NECK FLEET COMBAT TRAINING CENTER, ATLANTIC",LITTLE CREEK NAVAL AMPHIBIOUS BASE,NORFOLK NB,NORFOLK NAVAL SHIPYARD,OCEANA NAS,PORTSMOUTH NAVAL MEDICAL CENTER,YORKTOWN NAVAL WEAPONS STATION,BANGOR NAVAL SUBMARINE BASE,BREMERTON NAVAL STATION,EVERETT NAVAL STATION,WHIDBEY ISLAND NAS
CHINA LAKE NAVAL AIR WEAPONS STATION,0.0,207.87148141441787,227.35566287202917,132.4824155317397,243.7281945821552,206.19853206389018,203.99826724856592,133.19682078117273,134.94470671431023,204.5296305770876,208.11409854500718,264.92997494349333,2466.108154897246,2228.238332238168,1788.3350916853767,2107.3540752268004,2266.3640985054217,2119.0995582262913,1880.1184517175652,1789.8347884108532,1789.8347884108532,1796.8833441531658,2102.4368980249433,2614.7171457485365,2615.652751903792,1656.5886901792462,1650.7978357006316,1650.7978357006316,2560.5132264700105,2650.781994982026,2772.937644940403,2222.4150425665916,2264.806565567618,2255.091801622361,1687.0804721409284,1669.6578215638124,264.97002941062027,2524.1755925143557,2366.9745222476135,2504.7889459103385,2117.2020700003623,2147.652047599455,1558.093964743954,1314.8189280519205,1171.3585726806919,1293.4249272671789,2231.1433585012173,2307.1107421357065,2292.944433601032,2285.9232779736335,2288.243151602935,2302.9173237900836,2287.1884835301034,2269.354304006138,872.7074157659868,863.7649301731417,883.2622182260124,912.5693831029207
CORONADO NAVAL AMPHIBIOUS BASE,207.87148141441787,0.0,87.0528760675298,292.74752488175835,380.7401416794278,2.7054933661689224,4.909524936312828,149.7581133259691,156.31701552591218,3.5032458283347765,1.7446735523035075,420.08392695390523,2527.803507018667,2272.7467167188656,1759.6191619746503,2087.9651808509316,2210.9485930001742,2101.3693230449126,1852.6971672428942,1760.8210528011955,1760.8210528011955,1771.1864094406556,2087.2908735723086,2611.553822139148,2611.4996222996156,1728.6042709141793,1611.4221815441176,1611.4221815441176,2636.914341478234,2729.8212399924205,2854.541949460071,2267.6765076482184,2305.728827938201,2300.461985257901,1654.3390336334246,1656.5000106141958,472.4953503373417,2595.88719856825,2421.329013083412,2567.4598813015377,2114.3781248775804,2149.75522085517,1568.790611947035,1233.6137456491922,1145.7612334174623,1208.2297157516784,2272.0209399056716,2338.578356396942,2325.0808499536065,2318.2327939503784,2319.6550823657108,2334.5259917634676,2318.8516543113224,2303.3807183093863,1079.05821323978,1070.0757704790376,1090.2477385752686,1119.2885887178838
EL CENTRO NAVAL AIR FACILITY,227.35566287202917,87.0528760675298,0.0,339.1321967394314,438.68546000579164,89.2270352352486,90.21918811958551,217.17446954089993,224.04462296174566,86.16049504982138,85.31901090672145,472.6865383845604,2446.5138175633815,2189.2224127266622,1672.7256791758655,2000.93734968192,2125.7765009562117,2014.3277667167833,1765.786464527664,1673.935769607832,1673.935769607832,1684.2247995094142,2000.238383966192,2698.604916877716,2698.547134929775,1649.940008025018,1524.884605445964,1524.884605445964,2558.113209190288,2651.466527976555,2776.615091237811,2184.247837184605,2221.7622909842844,2217.026310577764,1567.5433814385476,1569.4665732122119,486.2240421382347,2516.243245866393,2339.0093560180985,2486.2989416425694,2027.4665971270836,2062.982483531867,1482.6294289839273,1150.7943985281647,1058.7142974876601,1125.9921897282507,2188.0685980126764,2253.6160374249803,2240.187628599668,2233.3592128652363,2234.6961132294246,2249.578689418287,2233.91659741946,2218.681205094485,1094.0240733499122,1085.182320490908,1102.9812219147889,1132.9593080500897
LEMOORE NAS,132.4824155317397,292.74752488175835,339.1321967394314,0.0,111.46035701769013,290.3547848887586,287.9797338056043,154.27782057502668,149.8621109905874,290.117794825454,293.6646314479159,135.0153606133997,2565.5586700576687,2335.2746825287877,1916.0633285283818,2232.970689900929,2397.2230235062943,2244.36944859069,2007.5065029640873,1917.6098437538838,1917.6098437538838,1924.0900051923516,2227.197199300329,2500.42848751354,2501.6892740385965,1754.0505681583838,1780.2832735618463,1780.2832735618463,2652.9227109672834,2741.6778542241777,2862.2692287650907,2329.17811853896,2373.1035890219778,2361.7355632797567,1815.5832115300498,1794.7235625378844,226.30149730579674,2618.9282980367175,2469.778865680236,2603.722527058829,2239.1553153389245,2268.323321803783,1677.8612647697692,1447.3009414405412,1299.8033522534165,1425.871969755479,2339.533708733103,2418.687080756893,2404.319752814513,2397.2533855298057,2399.8769611054176,2414.4537699902257,2398.738345485865,2380.122807988138,804.7020772991352,795.6204511973831,818.9599021818689,846.327643718916
MONTEREY NAVAL POSTGRADUATE SCHOOL,243.7281945821552,380.7401416794278,438.68546000579164,111.46035701769013,0.0,378.1391771818463,375.83338026189017,231.6226310790554,225.38896292174977,378.6373347717531,381.93974027843166,49.994702248156415,2656.778410536399,2431.963963917791,2025.8905495835083,2341.6044206962247,2508.43085977891,2352.804010714447,2117.144225839947,2027.4607003056842,2027.4607003056842,2033.6462293610946,2335.342552335456,2400.864535081197,2402.3771153432676,1844.8485455816972,1890.9679777867045,1890.9679777867045,2739.014556467629,2826.58457714782,2945.9190110528234,2425.6851774043807,2470.6254445587833,2458.1362385160246,1925.8094264424922,1903.150302262491,258.1390460128922,2706.7447206337024,2563.437949570276,2694.5433564651535,2345.629743643424,2374.000776187686,1783.2589334599695,1558.372563518199,1410.0923537977358,1536.747280379533,2437.142634839114,2518.397365442827,2503.9034662459517,2496.8109223762362,2499.636732786172,2514.139730856849,2498.442487611887,2479.313198656463,769.5365000376516,760.4859978549736,787.17364551977,812.1668035854972
NORTH ISLAND NAS,206.19853206389018,2.7054933661689224,89.2270352352486,290.3547848887586,378.1391771818463,0.0,2.3766096747014394,147.11072315556842,153.66230652353275,3.570028757571799,4.298617086201786,417.5483611048281,2529.249746882111,2274.3705000113014,1761.8715496458292,2090.1627441407413,2213.3942478807844,2103.554658085424,1854.9447047450774,1763.0756886653803,1763.0756886653803,1773.4170266526285,2089.4554699301257,2609.405612312208,2609.3592832709533,1729.8833050749347,1613.7424286729383,1613.7424286729383,2638.1914825557374,2731.0695015961846,2855.762743661246,2269.2920724109836,2307.3917531058455,2302.077942391014,1656.6149275830476,1658.6260357871818,470.72595976159334,2597.219307689712,2422.8531510916573,2568.896566428248,2116.443563354308,2151.7802049650304,1570.7034639500378,1236.160858878388,1147.9397830849732,1210.794604695787,2273.6827658846773,2340.338915693722,2326.8341577798333,2319.984072366079,2321.4153708269873,2336.284971842513,2320.609406828223,2305.1141141479297,1077.1556070301947,1068.1706519067907,1088.395293988057,1117.4125310133484
FLEET ANTISUBMARINE WARFARE TRAINING CENTER,203.99826724856592,4.909524936312828,90.21918811958551,287.9797338056043,375.83338026189017,2.3766096747014394,0.0,144.85241129872952,151.4143891874756,4.068624409149492,6.270114755023239,415.2047619412214,2529.347045993408,2274.6568607980275,1762.928311263761,2091.1426748999393,2214.7474246856655,2104.517869726083,1855.9944764925103,1764.1356413691053,1764.1356413691053,1774.4431005011782,2090.3906325514517,2608.4955942091856,2608.4597550218205,1729.8117255271418,1614.8980421133413,1614.8980421133413,2638.1167758534593,2730.9660503031746,2855.6321062817196,2269.569492962873,2307.7209802156676,2302.355752019811,1657.7054598376274,1659.5104234695227,468.48311636402457,2597.199736783078,2423.032269451029,2568.9839184883485,2117.248718921441,2152.5340665564295,1571.3207059804324,1237.699490283664,1148.895490527331,1212.3692281706694,2274.010819364717,2340.7773790685396,2327.2644033875436,2320.412024922407,2321.853546468549,2336.7216450675373,2321.0447025158555,2305.5218772630437,1074.8639535060029,1065.878182080754,1086.1206414774267,1115.1297139856658
POINT MUGU NAVAL AIR STATION,133.19682078117273,149.7581133259691,217.17446954089993,154.27782057502668,231.6226310790554,147.11072315556842,144.85241129872952,0.0,6.8701699351222665,147.88115735448562,151.048563570677,272.90363206054366,2583.5334866126104,2339.6946346427662,1867.522019363245,2191.675752551732,2331.9286926190653,2204.243418240644,1960.1179781861892,1868.8734196216035,1868.8734196216035,1877.6062281818968,2188.803872790925,2515.8958692690358,2516.400997244711,1776.3002573033127,1724.202016788487,1724.202016788487,2682.3525892323373,2773.396533327613,2896.300568804434,2334.131984622388,2375.013964482174,2366.880694406663,1764.0185965515593,1756.2540719367382,364.6654889286347,2644.66457611172,2481.946249770569,2622.5490211612873,2209.3399227976656,2242.0426942233153,1655.2315037556182,1363.4635236490337,1250.4417367858107,1339.522476710956,2341.2994269718256,2413.837229030463,2399.91174285816,2392.9492211220763,2394.9285601412334,2409.693431723522,2393.968954419455,2377.0140783411357,957.6199128192454,948.5499881685602,971.1965032832451,998.9844631368188
PORT HUENEME NAVAL CONSTRUCTION BATTALION CENTER,134.94470671431023,156.31701552591218,224.04462296174566,149.8621109905874,225.38896292174977,153.66230652353275,151.4143891874756,6.8701699351222665,0.0,154.47874823588594,157.6227910593896,267.0339525779289,2588.0337836956883,2344.6170169060965,1873.765525640041,2197.789049572885,2338.483806557129,2210.332373934724,1966.3441598436248,1875.120868046186,1875.120868046186,1883.8091339012756,2194.854351722775,2510.1837921180713,2510.707783549105,1780.5774319996663,1730.579138771614,1730.579138771614,2686.458768127949,2777.425137779977,2900.251206933435,2339.0373507092277,2380.01612707668,2371.7825000046078,1770.3143023331947,1762.277239222056,362.29095734814524,2648.9005041802125,2486.6323195691225,2627.023057628866,2215.1950300511817,2247.814045168828,1660.8621047782983,1370.216282250441,1256.6447762939645,1346.2983106406432,2346.3035956784806,2419.043470095178,2405.104195905565,2398.1381803605896,2400.1364259112834,2414.8967974653638,2399.1715484435304,2382.166893374613,953.7954392989191,944.7220238424164,967.5317952998491,995.2267060946373
SAN DIEGO NAVAL MEDICAL CENTER,204.5296305770876,3.5032458283347765,86.16049504982138,290.117794825454,378.6373347717531,3.570028757571799,4.068624409149492,147.88115735448562,154.47874823588594,0.0,3.6451051672949784,417.7696242388591,2525.7194143873744,2270.8937593253304,1758.8647011884923,2087.088930572165,2210.697249668438,2100.466928745911,1851.9315576851798,1760.0717328841388,1760.0717328841388,1770.3828144018723,2086.3449075432486,2612.5357881557215,2612.497612335103,1726.3241131450122,1610.8294309967607,1610.8294309967607,2634.6319906653925,2727.506955314539,2852.1977880214627,2265.812282097034,2303.930351505539,2298.5982880760153,1653.6391420394807,1655.4756976739986,469.20054470618055,2593.667135650363,2419.3432262980486,2565.36404322487,2113.235346069244,2148.537024138713,1567.376389173252,1233.7073809421993,1144.8457365288339,1208.3936964031213,2270.220923980415,2336.9220018011483,2323.4136228542943,2316.5625345845942,2317.998326824047,2332.867265184624,2317.191089821569,2301.6839028035815,1075.8479280522542,1066.8673407985916,1087.0023626491077,1116.0592906700174
