,CHINA LAKE NAVAL AIR WEAPONS STATION,CORONADO NAVAL AMPHIBIOUS BASE,EL CENTRO NAVAL AIR FACILITY,LEMOORE NAS,MONTEREY NAVAL POSTGRADUATE SCHOOL,NORTH ISLAND NAS,FLEET ANTISUBMARINE WARFARE TRAINING CENTER,POINT MUGU NAVAL AIR STATION,PORT HUENEME NAVAL CONSTRUCTION BATTALION CENTER,SAN DIEGO NAVAL MEDICAL CENTER
1,9,4,5,2,6,6,9,9,4,9
2,8,10,7,4,1,2,6,3,2,2
3,4,6,3,1,9,10,7,10,1,5
4,6,9,4,9,7,9,8,2,7,4
5,5,8,1,6,5,5,1,7,3,3
6,7,3,9,5,4,3,10,4,10,10
7,10,7,2,7,8,7,2,6,8,6
8,3,5,10,10,10,1,5,1,6,7
9,1,2,8,8,2,4,3,5,5,1
10,2,1,6,3,3,8,4,8,9,8
