,1,2,3,4,5,6,7,8,9,10
CHINA LAKE NAVAL AIR WEAPONS STATION,3,7,8,2,6,4,9,5,5,3
CORONADO NAVAL AMPHIBIOUS BASE,2,2,5,6,9,6,7,6,2,9
EL CENTRO NAVAL AIR FACILITY,6,9,7,1,8,10,4,1,8,2
LEMOORE NAS,1,5,2,3,10,9,8,2,1,8
MONTEREY NAVAL POSTGRADUATE SCHOOL,8,10,3,7,2,1,3,8,4,7
NORTH ISLAND NAS,5,8,1,4,1,2,2,3,10,10
FLEET ANTISUBMARINE WARFARE TRAINING CENTER,7,3,10,10,3,8,6,4,6,4
POINT MUGU NAVAL AIR STATION,9,4,9,8,5,7,1,7,3,1
PORT HUENEME NAVAL CONSTRUCTION BATTALION CENTER,4,6,4,5,7,5,10,9,7,5
SAN DIEGO NAVAL MEDICAL CENTER,10,1,6,9,4,3,5,10,9,6
