,1,2,3,4,5,6,7,8,9,10
CHINA LAKE NAVAL AIR WEAPONS STATION,0,0,0,1,0,0,0,0,0,0
CORONADO NAVAL AMPHIBIOUS BASE,0,0,0,0,0,0,0,0,1,0
EL CENTRO NAVAL AIR FACILITY,0,0,0,1,0,0,0,0,0,0
LEMOORE NAS,0,0,0,0,0,0,0,0,0,1
MONTEREY NAVAL POSTGRADUATE SCHOOL,0,0,1,0,0,0,0,0,0,0
NORTH ISLAND NAS,0,1,0,0,0,0,0,0,0,0
FLEET ANTISUBMARINE WARFARE TRAINING CENTER,0,0,1,0,0,0,0,0,0,0
POINT MUGU NAVAL AIR STATION,0,0,0,0,0,0,0,1,0,0
PORT HUENEME NAVAL CONSTRUCTION BATTALION CENTER,0,0,0,0,0,0,1,0,0,0
SAN DIEGO NAVAL MEDICAL CENTER,0,1,0,0,0,0,0,0,0,0
