 ,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15,command_16,command_17,command_18,command_19
s_1,6.0,6.0,6.0,2.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
s_2,12.0,12.0,11.0,3.0,9.0,3.0,13.0,9.0,1.0,12.0,12.0,10.0,10.0,14.0,11.0,11.0,11.0,3.0,11.0
s_3,3.0,4.0,23.0,22.0,23.0,22.0,22.0,22.0,21.0,22.0,23.0,22.0,22.0,23.0,22.0,23.0,21.0,21.0,22.0
s_4,24.0,25.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,22.0,23.0,24.0,4.0,23.0,4.0,22.0,22.0,23.0
s_5,7.0,8.0,7.0,7.0,7.0,7.0,2.0,1.0,6.0,7.0,7.0,1.0,1.0,8.0,3.0,7.0,7.0,7.0,4.0
s_6,15.0,18.0,14.0,14.0,3.0,13.0,18.0,15.0,13.0,18.0,14.0,14.0,17.0,5.0,16.0,16.0,13.0,1.0,15.0
s_7,2.0,7.0,3.0,6.0,6.0,6.0,7.0,6.0,4.0,6.0,6.0,5.0,7.0,7.0,7.0,3.0,4.0,4.0,7.0
s_8,25.5,27.0,5.0,23.0,5.0,23.0,24.0,25.0,25.0,24.0,24.0,24.0,26.0,26.0,24.0,26.0,26.0,25.0,26.0
s_9,22.0,23.0,21.0,20.0,21.0,20.0,1.0,20.0,20.0,1.0,20.0,20.0,21.0,22.0,20.0,22.0,20.0,20.0,20.0
s_10,16.0,3.0,19.0,16.0,20.0,16.0,20.0,16.0,5.0,20.0,17.0,17.0,4.0,19.0,18.0,17.0,16.0,15.0,16.0
s_11,1.0,11.0,9.0,9.0,11.0,9.0,11.0,8.0,9.0,11.0,11.0,2.0,9.0,13.0,10.0,10.0,1.0,10.0,3.0
s_12,14.0,16.5,15.0,13.0,16.0,5.0,17.0,13.0,14.0,17.0,15.0,12.0,14.0,17.0,15.0,14.0,2.0,13.0,2.0
s_13,13.0,14.0,2.0,10.0,13.0,11.0,3.0,11.0,12.0,13.0,4.0,3.0,12.0,15.0,12.0,12.0,12.0,12.0,12.0
s_14,25.5,26.0,26.0,26.0,25.5,26.0,25.0,24.0,26.0,25.5,25.0,25.0,5.0,25.0,25.0,5.0,25.0,24.0,24.0
s_15,23.0,24.0,22.0,21.0,22.0,21.0,4.0,21.0,22.0,3.0,21.0,21.0,23.0,24.0,21.0,24.0,23.0,23.0,21.0
s_16,21.0,22.0,20.0,19.0,4.0,19.0,21.0,18.0,19.0,5.0,18.0,19.0,20.0,20.0,5.0,21.0,19.0,19.0,18.0
s_17,10.0,10.0,10.0,8.0,10.0,8.0,10.0,2.0,10.0,10.0,10.0,8.0,2.0,11.0,9.0,1.0,10.0,11.0,1.0
s_18,5.0,5.0,25.0,25.0,25.5,25.0,26.0,26.0,24.0,25.5,26.0,26.0,25.0,27.0,26.0,25.0,24.0,26.0,25.0
s_19,4.0,15.0,13.0,12.0,14.0,12.0,14.0,12.0,3.0,15.0,13.0,11.0,13.0,16.0,14.0,13.0,5.0,5.0,13.0
s_20,17.0,16.5,16.0,15.0,15.0,14.0,15.0,5.0,15.0,16.0,2.0,13.0,15.0,2.0,17.0,15.0,14.0,14.0,14.0
s_21,9.0,2.0,8.0,4.0,8.0,4.0,9.0,4.0,8.0,9.0,9.0,7.0,3.0,10.0,8.0,9.0,9.0,9.0,9.0
s_22,11.0,13.0,12.0,11.0,12.0,10.0,12.0,10.0,11.0,14.0,3.0,9.0,11.0,12.0,13.0,2.0,3.0,2.0,10.0
s_23,20.0,21.0,4.0,5.0,19.0,17.0,5.0,19.0,18.0,21.0,19.0,18.0,19.0,21.0,19.0,20.0,18.0,18.0,19.0
s_24,8.0,9.0,1.0,1.0,1.0,2.0,8.0,7.0,7.0,8.0,8.0,6.0,8.0,9.0,1.0,8.0,8.0,8.0,8.0
s_25,27.0,1.0,27.5,27.0,28.0,27.0,27.5,27.0,27.0,27.5,28.0,27.5,27.0,28.0,28.0,28.0,27.5,28.0,27.5
s_26,18.0,19.0,17.0,17.0,17.0,15.0,16.0,14.0,16.0,4.0,16.0,15.0,16.0,18.0,2.0,18.0,15.0,17.0,5.0
s_27,19.0,20.0,18.0,18.0,18.0,18.0,19.0,17.0,17.0,19.0,5.0,16.0,18.0,3.0,4.0,19.0,17.0,16.0,17.0
s_28,28.0,28.0,27.5,28.0,27.0,28.0,27.5,28.0,28.0,27.5,27.0,27.5,28.0,1.0,27.0,27.0,27.5,27.0,27.5
