,mip,da
10_o_count,25.0,23.0
10_o_ratio,0.9615,0.8846
10_s_count,26.0,23.0
10_s_ratio,0.9286,0.8214
15_o_count,25.0,23.0
15_o_ratio,0.9615,0.8846
15_s_count,26.0,24.0
15_s_ratio,0.9286,0.8571
1_o_count,10.0,10.0
1_o_ratio,0.3846,0.3846
1_s_count,6.0,6.0
1_s_ratio,0.2143,0.2143
20_o_count,25.0,26.0
20_o_ratio,0.9615,1.0
20_s_count,26.0,26.0
20_s_ratio,0.9286,0.9286
25_o_count,26.0,26.0
25_o_ratio,1.0,1.0
30_o_count,26.0,26.0
30_o_ratio,1.0,1.0
5_o_count,25.0,23.0
5_o_ratio,0.9615,0.8846
5_s_count,23.0,18.0
5_s_ratio,0.8214,0.6429
gap_mu,0.0769,1.1923
mu_combined,7.0769,9.2693
mu_o,3.5,4.0385
mu_s,3.5769,5.2308
o_matched_count,26.0,26.0
o_matched_ratio,1.0,1.0
o_participants,26.0,26.0
o_unmatched_count,0.0,0.0
o_unmatched_ratio,0.0,0.0
s_matched_count,26.0,26.0
s_matched_ratio,0.9286,0.9286
s_participants,28.0,28.0
s_unmatched_count,2.0,2.0
s_unmatched_ratio,0.0714,0.0714
