 ,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15,command_16,command_17,command_18,command_19
s_1,,,,2.0,2.0,1.0,,3.0,2.0,2.0,1.0,4.0,,,,,,,
s_2,,,,3.0,,3.0,,,1.0,,,,,,,,,3.0,
s_3,3.0,4.0,,,,,,,,,,,,,,,,,
s_4,,,,,,,,,,,,,,4.0,,4.0,,,
s_5,,,,,,,2.0,1.0,,,,1.0,1.0,,3.0,,,,4.0
s_6,,,,,3.0,,,,,,,,,5.0,,,,1.0,
s_7,2.0,,3.0,,,,,,4.0,,,5.0,,,,3.0,4.0,4.0,
s_8,,,5.0,,5.0,,,,,,,,,,,,,,
s_9,,,,,,,1.0,,,1.0,,,,,,,,,
s_10,,3.0,,,,,,,5.0,,,,4.0,,,,,,
s_11,1.0,,,,,,,,,,,2.0,,,,,1.0,,3.0
s_12,,,,,,5.0,,,,,,,,,,,2.0,,2.0
s_13,,,2.0,,,,3.0,,,,4.0,3.0,,,,,,,
s_14,,,,,,,,,,,,,5.0,,,5.0,,,
s_15,,,,,,,4.0,,,3.0,,,,,,,,,
s_16,,,,,4.0,,,,,5.0,,,,,5.0,,,,
s_17,,,,,,,,2.0,,,,,2.0,,,1.0,,,1.0
s_18,5.0,5.0,,,,,,,,,,,,,,,,,
s_19,4.0,,,,,,,,3.0,,,,,,,,5.0,5.0,
s_20,,,,,,,,5.0,,,2.0,,,2.0,,,,,
s_21,,2.0,,4.0,,4.0,,4.0,,,,,3.0,,,,,,
s_22,,,,,,,,,,,3.0,,,,,2.0,3.0,2.0,
s_23,,,4.0,5.0,,,5.0,,,,,,,,,,,,
s_24,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,
s_25,,1.0,,,,,,,,,,,,,,,,,
s_26,,,,,,,,,,4.0,,,,,2.0,,,,5.0
s_27,,,,,,,,,,,5.0,,,3.0,4.0,,,,
s_28,,,,,,,,,,,,,,1.0,,,,,
