,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28
command_1,,,,,,,10.0,,,,8.0,,,,,,,5.0,2.0,,,,,,,,,
command_2,,,4.0,,,,11.0,,,6.0,,,8.0,,,,19.0,6.0,,,6.0,,,,3.0,,,
command_3,,,,,,,1.0,13.0,,,,,10.0,,,,,,,,,,4.0,18.0,,,,
command_4,9.0,7.0,,,,,,,,,,,,,,,,,,,3.0,,9.0,12.0,,,,
command_5,8.0,,,,,7.0,,10.0,,,,,,,,8.0,,,,,,,,4.0,,,,
command_6,6.0,6.0,,,,,,,,,,5.0,9.0,,,,,,20.0,,2.0,,,5.0,,,,
command_7,,,,,8.0,,,,1.0,,,,7.0,,3.0,,17.0,,,,,,8.0,,,,,
command_8,2.0,8.0,,7.0,4.0,,,,,,,8.0,,,4.0,6.0,2.0,,13.0,4.0,1.0,,,,,5.0,,
command_9,5.0,1.0,,,,,6.0,,,2.0,,,,,,,12.0,,8.0,,,10.0,,,11.0,,,
command_10,4.0,10.0,8.0,,10.0,,,,2.0,10.0,,,,,5.0,5.0,18.0,,,,15.0,,,,,4.0,,
command_11,1.0,9.0,,,,,,,,11.0,,,3.0,,,,,,14.0,2.0,,3.0,,,10.0,,8.0,
command_12,3.0,13.0,9.0,,9.0,,8.0,,,12.0,7.0,,5.0,,,,,,15.0,,11.0,,,,,,,
command_13,,16.0,,,5.0,,,,,14.0,,,,8.0,,,11.0,,,,10.0,,,,14.0,,,
command_14,,,,9.0,,2.0,,,,15.0,,,,,,,,,18.0,8.0,,,10.0,14.0,,,2.0,3.0
command_15,,,,,2.0,,,,3.0,16.0,,,,,,2.0,10.0,,,,,,,2.0,,2.0,1.0,
command_16,,,,3.0,6.0,,2.0,,,17.0,,6.0,6.0,1.0,,,4.0,9.0,4.0,,,1.0,,,,,,9.0
command_17,,,,,,,12.0,,,19.0,4.0,10.0,,,,,,,3.0,,,7.0,,,,,,
command_18,,2.0,,10.0,,5.0,5.0,,,20.0,,,,9.0,,,9.0,8.0,5.0,,,6.0,,,12.0,,,
command_19,,,,,7.0,,,,,,1.0,9.0,,10.0,,,3.0,,,,,,,20.0,,3.0,,
