,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15
s_1,1.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,2.0,6.0,1.0,6.0
s_2,23.0,1.0,24.0,26.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,26.0,26.0,25.0
s_3,2.0,16.0,1.0,14.0,15.0,16.0,16.0,15.0,16.0,17.0,15.0,14.0,17.0,14.0,16.0
s_4,10.0,11.0,3.0,1.0,4.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,12.0
s_5,12.0,12.0,12.0,5.0,1.0,3.0,12.0,12.0,12.0,14.0,8.0,12.0,13.0,12.0,13.0
s_6,18.0,20.0,19.0,16.0,16.0,1.0,18.0,17.0,17.0,18.0,16.0,17.0,19.0,16.0,4.0
s_7,5.0,2.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,7.0,7.0,5.0,5.0,6.0,7.0
s_8,8.0,10.0,10.0,11.0,10.0,11.0,10.0,1.0,11.0,13.0,11.0,4.0,10.0,3.0,10.0
s_9,27.0,26.0,25.0,24.0,24.0,25.0,25.0,25.0,1.0,24.0,24.0,27.0,27.0,25.0,23.0
s_10,16.0,17.0,16.0,13.0,13.0,15.0,17.0,16.0,15.0,1.0,2.0,15.0,18.0,15.0,15.0
s_11,6.0,7.0,7.0,2.0,5.0,8.0,7.0,7.0,5.0,8.0,1.0,6.0,7.0,7.0,8.0
s_12,15.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,14.0,16.0,14.0,1.0,16.0,13.0,1.0
s_13,25.0,25.0,26.0,27.0,26.0,26.0,26.0,26.0,25.0,26.0,28.0,26.0,1.0,27.0,24.0
s_14,24.0,27.0,2.0,25.0,27.0,28.0,27.0,28.0,28.0,27.0,29.0,28.0,28.0,28.0,28.0
s_15,29.0,28.0,27.0,23.0,2.0,23.0,28.0,29.0,27.0,28.0,26.0,29.0,29.0,30.0,29.0
s_16,11.0,9.0,11.0,9.0,3.0,2.0,9.0,11.0,9.0,12.0,3.0,10.0,12.0,10.0,11.0
s_17,17.0,19.0,20.0,17.0,18.0,18.0,2.0,20.0,4.0,19.0,18.0,18.0,21.0,18.0,17.0
s_18,26.0,29.0,28.0,29.0,28.0,27.0,29.0,2.0,29.0,29.0,30.0,24.0,30.0,24.0,30.0
s_19,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,2.0,10.0,9.0,8.0,9.0,2.0,2.0
s_20,30.0,30.0,29.0,28.0,29.0,29.0,30.0,30.0,26.0,2.0,27.0,30.0,31.0,31.0,26.0
s_21,20.0,22.0,21.0,20.0,21.0,20.0,21.0,21.0,20.0,21.0,21.0,19.0,2.0,21.0,5.0
s_22,3.0,18.0,17.0,18.0,19.0,19.0,3.0,18.0,19.0,20.0,19.0,16.0,20.0,17.0,19.0
s_23,7.0,3.0,8.0,8.0,8.0,5.0,5.0,8.0,8.0,9.0,5.0,7.0,8.0,8.0,9.0
s_24,19.0,21.0,18.0,3.0,17.0,17.0,20.0,19.0,18.0,3.0,17.0,20.0,22.0,19.0,18.0
s_25,13.0,13.0,13.0,12.0,11.0,12.0,13.0,13.0,3.0,4.0,12.0,11.0,14.0,11.0,3.0
s_26,28.0,31.0,30.0,30.0,31.0,31.0,31.0,27.0,30.0,30.0,31.0,3.0,32.0,29.0,27.0
s_27,31.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,31.0,31.0,32.0,31.0,3.0,32.0,31.0
s_28,4.0,5.0,22.0,22.0,23.0,21.0,19.0,22.0,23.0,23.0,23.0,22.0,23.0,22.0,22.0
s_29,33.0,4.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,33.0,33.0,34.0,33.0,33.0
s_30,22.0,24.0,4.0,21.0,22.0,22.0,23.0,23.0,22.0,5.0,22.0,23.0,25.0,23.0,21.0
s_31,14.0,14.0,14.0,4.0,12.0,13.0,14.0,5.0,13.0,15.0,13.0,13.0,15.0,4.0,14.0
s_32,21.0,23.0,23.0,19.0,20.0,4.0,22.0,4.0,21.0,22.0,20.0,21.0,24.0,20.0,20.0
s_33,32.0,33.0,33.0,34.0,34.0,34.0,4.0,34.0,32.0,34.0,34.0,32.0,33.0,34.0,34.0
s_34,36.0,35.0,34.0,32.0,30.0,30.0,35.0,35.0,33.0,32.0,4.0,36.0,35.0,35.0,35.0
s_35,34.0,34.0,35.0,35.0,35.0,35.0,34.0,36.0,35.0,35.0,35.0,35.0,4.0,36.0,32.0
s_36,35.0,36.0,36.0,36.0,36.0,36.0,36.0,31.0,36.0,36.0,36.0,34.0,36.0,5.0,36.0
