,mip,da
10_o_count,20.0,20.0
10_o_ratio,1.0,1.0
10_s_count,20.0,20.0
10_s_ratio,0.5556,0.5556
15_o_count,20.0,20.0
15_o_ratio,1.0,1.0
15_s_count,20.0,20.0
15_s_ratio,0.5556,0.5556
1_o_count,13.0,12.0
1_o_ratio,0.65,0.6
1_s_count,10.0,12.0
1_s_ratio,0.2778,0.3333
20_o_count,20.0,20.0
20_o_ratio,1.0,1.0
25_o_count,20.0,20.0
25_o_ratio,1.0,1.0
30_o_count,20.0,20.0
30_o_ratio,1.0,1.0
35_o_count,20.0,20.0
35_o_ratio,1.0,1.0
40_o_count,20.0,20.0
40_o_ratio,1.0,1.0
5_o_count,20.0,20.0
5_o_ratio,1.0,1.0
5_s_count,20.0,12.0
5_s_ratio,0.5556,0.3333
gap_mu,0.35,0.45
mu_combined,3.45,3.55
mu_o,1.55,1.55
mu_s,1.9,2.0
o_matched_count,20.0,20.0
o_matched_ratio,1.0,1.0
o_participants,20.0,20.0
o_unmatched_count,0.0,0.0
o_unmatched_ratio,0.0,0.0
s_matched_count,20.0,20.0
s_matched_ratio,0.5556,0.5556
s_participants,36.0,36.0
s_unmatched_count,16.0,16.0
s_unmatched_ratio,0.4444,0.4444
