,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15
s_1,1.0,,5.0,,,,,3.0,,,,2.0,,1.0,
s_2,,1.0,,,,,,,,,,,,,
s_3,2.0,,1.0,,,,,,,,,,,,
s_4,,,3.0,1.0,4.0,,,,,,,,,,
s_5,,,,5.0,1.0,3.0,,,,,,,,,
s_6,,,,,,1.0,,,,,,,,,4.0
s_7,5.0,2.0,,,,,1.0,,,,,5.0,5.0,,
s_8,,,,,,,,1.0,,,,4.0,,3.0,
s_9,,,,,,,,,1.0,,,,,,
s_10,,,,,,,,,,1.0,2.0,,,,
s_11,,,,2.0,5.0,,,,5.0,,1.0,,,,
s_12,,,,,,,,,,,,1.0,,,1.0
s_13,,,,,,,,,,,,,1.0,,
s_14,,,2.0,,,,,,,,,,,,
s_15,,,,,2.0,,,,,,,,,,
s_16,,,,,3.0,2.0,,,,,3.0,,,,
s_17,,,,,,,2.0,,4.0,,,,,,
s_18,,,,,,,,2.0,,,,,,,
s_19,,,,,,,,,2.0,,,,,2.0,2.0
s_20,,,,,,,,,,2.0,,,,,
s_21,,,,,,,,,,,,,2.0,,5.0
s_22,3.0,,,,,,3.0,,,,,,,,
s_23,,3.0,,,,5.0,5.0,,,,5.0,,,,
s_24,,,,3.0,,,,,,3.0,,,,,
s_25,,,,,,,,,3.0,4.0,,,,,3.0
s_26,,,,,,,,,,,,3.0,,,
s_27,,,,,,,,,,,,,3.0,,
s_28,4.0,5.0,,,,,,,,,,,,,
s_29,,4.0,,,,,,,,,,,,,
s_30,,,4.0,,,,,,,5.0,,,,,
s_31,,,,4.0,,,,5.0,,,,,,4.0,
s_32,,,,,,4.0,,4.0,,,,,,,
s_33,,,,,,,4.0,,,,,,,,
s_34,,,,,,,,,,,4.0,,,,
s_35,,,,,,,,,,,,,4.0,,
s_36,,,,,,,,,,,,,,5.0,
