,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36
command_1,1.0,7.0,1.0,2.0,10.0,4.0,3.0,8.0,3.0,6.0,8.0,6.0,6.0,11.0,10.0,8.0,8.0,3.0,4.0,10.0,10.0,2.0,4.0,8.0,6.0,6.0,1.0,2.0,3.0,10.0,12.0,4.0,6.0,4.0,13.0,5.0
command_2,7.0,2.0,11.0,7.0,4.0,5.0,4.0,9.0,8.0,9.0,9.0,7.0,5.0,10.0,11.0,10.0,9.0,4.0,9.0,11.0,14.0,6.0,3.0,7.0,8.0,7.0,2.0,4.0,4.0,11.0,13.0,2.0,7.0,5.0,12.0,6.0
command_3,10.0,12.0,2.0,6.0,11.0,10.0,11.0,15.0,12.0,10.0,4.0,11.0,9.0,12.0,12.0,15.0,10.0,10.0,10.0,7.0,15.0,13.0,15.0,6.0,11.0,12.0,14.0,12.0,9.0,7.0,11.0,15.0,13.0,8.0,8.0,15.0
command_4,13.0,6.0,8.0,3.0,5.0,6.0,9.0,13.0,11.0,11.0,3.0,12.0,10.0,13.0,3.0,7.0,4.0,8.0,11.0,6.0,11.0,12.0,12.0,5.0,10.0,11.0,11.0,7.0,8.0,6.0,5.0,14.0,12.0,10.0,11.0,14.0
command_5,12.0,8.0,9.0,4.0,2.0,7.0,10.0,10.0,9.0,5.0,2.0,10.0,7.0,3.0,2.0,6.0,7.0,6.0,7.0,5.0,8.0,9.0,6.0,4.0,5.0,10.0,12.0,13.0,7.0,4.0,6.0,7.0,11.0,9.0,7.0,13.0
command_6,3.0,1.0,10.0,8.0,1.0,1.0,2.0,11.0,7.0,8.0,6.0,5.0,2.0,2.0,6.0,1.0,3.0,2.0,15.0,2.0,12.0,4.0,2.0,1.0,7.0,2.0,6.0,3.0,2.0,9.0,3.0,1.0,2.0,3.0,2.0,4.0
command_7,11.0,4.0,5.0,1.0,12.0,3.0,1.0,12.0,2.0,2.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,1.0,14.0,1.0,13.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0
command_8,9.0,13.0,12.0,15.0,6.0,11.0,14.0,3.0,13.0,12.0,15.0,15.0,15.0,9.0,15.0,13.0,14.0,9.0,13.0,15.0,9.0,15.0,13.0,15.0,12.0,15.0,7.0,15.0,13.0,14.0,10.0,10.0,10.0,14.0,15.0,12.0
command_9,4.0,3.0,4.0,14.0,7.0,12.0,15.0,4.0,1.0,13.0,7.0,13.0,14.0,5.0,14.0,14.0,5.0,7.0,2.0,9.0,7.0,11.0,9.0,11.0,3.0,14.0,15.0,11.0,12.0,3.0,9.0,8.0,15.0,13.0,14.0,11.0
command_10,14.0,9.0,6.0,5.0,8.0,9.0,8.0,14.0,10.0,1.0,10.0,9.0,8.0,6.0,4.0,9.0,6.0,5.0,5.0,4.0,6.0,10.0,5.0,3.0,2.0,9.0,8.0,6.0,6.0,5.0,7.0,5.0,8.0,7.0,10.0,7.0
command_11,15.0,10.0,15.0,9.0,14.0,8.0,7.0,7.0,4.0,4.0,1.0,8.0,11.0,14.0,8.0,5.0,13.0,14.0,8.0,8.0,5.0,8.0,7.0,10.0,9.0,8.0,13.0,14.0,10.0,8.0,8.0,9.0,14.0,6.0,9.0,3.0
command_12,5.0,11.0,14.0,11.0,15.0,14.0,6.0,5.0,5.0,7.0,12.0,3.0,13.0,15.0,9.0,11.0,15.0,15.0,12.0,14.0,4.0,7.0,11.0,14.0,13.0,4.0,10.0,10.0,14.0,13.0,15.0,11.0,5.0,12.0,4.0,10.0
command_13,8.0,5.0,13.0,10.0,3.0,13.0,5.0,6.0,6.0,3.0,11.0,2.0,1.0,7.0,7.0,12.0,12.0,13.0,6.0,13.0,3.0,5.0,8.0,13.0,14.0,5.0,3.0,9.0,11.0,12.0,14.0,6.0,3.0,11.0,3.0,9.0
command_14,2.0,14.0,7.0,13.0,9.0,15.0,13.0,2.0,14.0,15.0,13.0,14.0,12.0,8.0,13.0,4.0,11.0,11.0,3.0,12.0,2.0,14.0,10.0,12.0,15.0,13.0,9.0,8.0,15.0,15.0,2.0,12.0,9.0,15.0,5.0,8.0
command_15,6.0,15.0,3.0,12.0,13.0,2.0,12.0,1.0,15.0,14.0,14.0,1.0,4.0,1.0,1.0,3.0,2.0,12.0,1.0,3.0,1.0,3.0,14.0,9.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,13.0,4.0,2.0,6.0,1.0
