,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15,command_16,command_17,command_18,command_19,command_20
s_1,18.0,28.0,18.0,33.0,22.0,27.0,27.0,20.0,48.0,13.0,2.0,31.0,26.0,27.0,12.0,2.0,6.0,12.0,44.0,22.0
s_2,13.0,22.0,13.0,21.0,25.0,19.0,19.0,1.0,14.0,3.0,12.0,24.0,25.0,13.0,14.0,10.0,2.0,15.0,13.0,23.0
s_3,42.0,48.0,51.0,40.0,38.0,30.0,30.0,51.0,46.0,48.0,53.0,12.0,36.0,48.0,41.0,47.0,47.0,47.0,46.0,46.0
s_4,22.0,9.0,22.0,31.0,44.0,39.0,39.0,23.0,18.0,34.0,32.0,41.0,39.0,3.0,28.0,40.0,35.0,37.0,19.0,31.0
s_5,27.0,13.0,27.0,17.0,39.0,43.0,43.0,10.0,22.0,26.0,34.0,30.0,34.0,19.0,35.0,27.0,29.0,29.0,5.0,35.0
s_6,4.0,26.0,4.0,18.0,26.0,24.0,24.0,19.0,58.0,22.0,10.0,10.0,22.0,14.0,2.0,22.0,5.0,21.0,33.0,21.0
s_7,49.0,25.0,32.0,9.0,24.0,4.0,4.0,50.0,3.0,8.0,36.0,29.0,45.0,55.0,43.0,12.0,38.0,14.0,59.0,13.0
s_8,44.0,50.0,50.0,54.0,58.0,54.0,52.0,41.0,35.0,56.0,49.0,53.0,48.0,2.0,40.0,54.0,45.0,57.0,38.0,58.0
s_10,32.0,36.0,34.0,53.0,32.0,18.0,18.0,29.0,13.0,2.0,19.0,47.0,46.0,54.0,36.0,7.0,37.0,13.0,54.0,36.0
s_11,53.0,56.0,54.0,39.0,2.0,36.0,36.0,55.0,36.0,50.0,47.0,50.0,49.0,52.0,52.0,49.0,54.0,52.0,55.0,53.0
s_12,29.0,15.0,29.0,2.0,6.0,8.0,8.0,2.0,25.0,15.0,15.0,13.0,20.0,12.0,19.0,17.0,21.0,18.0,8.0,19.0
s_13,21.0,23.0,21.0,14.0,23.0,33.0,33.0,12.0,59.0,24.0,13.0,20.0,8.0,6.0,13.0,20.0,11.0,24.0,10.0,24.0
s_14,48.0,46.0,35.0,49.0,55.0,57.0,54.0,37.0,40.0,58.0,57.0,55.0,55.0,50.0,58.0,56.0,55.0,58.0,1.0,54.0
s_15,52.0,24.0,49.0,16.0,16.0,16.0,16.0,22.0,24.0,16.0,18.0,11.0,2.0,30.0,20.0,13.0,24.0,1.0,30.0,16.0
s_16,39.0,21.0,57.0,1.0,7.0,2.0,3.0,16.0,10.0,14.0,20.0,1.0,14.0,23.0,23.0,15.0,22.0,11.0,20.0,12.0
