,mip,da
10_o_count,40.0,13.0
10_o_ratio,0.7018,0.2281
10_s_count,37.0,51.0
10_s_ratio,0.6271,0.8644
15_o_count,48.0,19.0
15_o_ratio,0.8421,0.3333
15_s_count,45.0,53.0
15_s_ratio,0.7627,0.8983
1_o_count,11.0,2.0
1_o_ratio,0.193,0.0351
1_s_count,3.0,32.0
1_s_ratio,0.0508,0.5424
20_o_count,51.0,23.0
20_o_ratio,0.8947,0.4035
20_s_count,57.0,57.0
20_s_ratio,0.9661,0.9661
25_o_count,53.0,25.0
25_o_ratio,0.9298,0.4386
30_o_count,56.0,30.0
30_o_ratio,0.9825,0.5263
35_o_count,57.0,37.0
35_o_ratio,1.0,0.6491
40_o_count,57.0,41.0
40_o_ratio,1.0,0.7193
45_o_count,57.0,43.0
45_o_ratio,1.0,0.7544
50_o_count,57.0,50.0
50_o_ratio,1.0,0.8772
55_o_count,57.0,55.0
55_o_ratio,1.0,0.9649
5_o_count,32.0,10.0
5_o_ratio,0.5614,0.1754
5_s_count,21.0,45.0
5_s_ratio,0.3559,0.7627
60_o_count,57.0,57.0
60_o_ratio,1.0,1.0
gap_mu,0.5614,-23.7544
mu_combined,16.8772,31.193
mu_o,8.1579,27.4737
mu_s,8.7193,3.7193
o_matched_count,57.0,57.0
o_matched_ratio,1.0,1.0
o_participants,57.0,57.0
o_unmatched_count,0.0,0.0
o_unmatched_ratio,0.0,0.0
s_matched_count,57.0,57.0
s_matched_ratio,0.9661,0.9661
s_participants,59.0,59.0
s_unmatched_count,2.0,2.0
s_unmatched_ratio,0.0339,0.0339
