,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59
command_1,,,,,,4.0,,,,,,,,,,,,,,,,,19.0,,,,,,19.0,,,,,,,,,,,,,14.0,14.0,,,14.0,,,,,,,,,4.0,,,,
command_2,,5.0,,3.0,5.0,10.0,,,,,,6.0,,4.0,,,,13.0,,,4.0,4.0,3.0,4.0,,,3.0,,9.0,,11.0,,1.0,,1.0,,,11.0,,,,7.0,5.0,6.0,,,,,,4.0,,,4.0,,8.0,,,,
command_3,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,15.0,15.0,,,15.0,,,,,,,,,3.0,,,,
command_4,,,,,,,,,,,,7.0,,,,4.0,,10.0,,1.0,,,4.0,,,,,,6.0,,10.0,,,,,,,7.0,7.0,,,,11.0,,,16.0,,,,,,2.0,8.0,,,,,,
command_5,,,3.0,,,13.0,1.0,,,1.0,1.0,5.0,4.0,,,5.0,1.0,12.0,3.0,,,6.0,5.0,1.0,,,,,5.0,2.0,3.0,5.0,,,,2.0,,6.0,,6.0,,4.0,9.0,3.0,,4.0,5.0,,1.0,3.0,,,6.0,,9.0,,1.0,,2.0
command_6,,,7.0,,,12.0,,,,,,,,,,2.0,,6.0,,,,,10.0,7.0,,,,,3.0,,18.0,,,,,,,9.0,,,,16.0,6.0,7.0,,18.0,,,,,,,,,,,,,
command_7,,,,,,11.0,3.0,,,,,,,,,3.0,,7.0,,3.0,,,11.0,6.0,,,,,4.0,,17.0,,,,,,,10.0,,,,17.0,7.0,,,19.0,,,,,,,,,,,,,
command_8,,1.0,9.0,2.0,2.0,5.0,,2.0,,6.0,,1.0,2.0,2.0,,8.0,,3.0,4.0,,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,8.0,,4.0,4.0,5.0,,2.0,1.0,4.0,3.0,,5.0,3.0,1.0,3.0,5.0,1.0,9.0,4.0,2.0,,1.0,3.0,,2.0,3.0,10.0,,2.0,2.0,3.0
command_9,,,,,,14.0,2.0,,,,,,,,,,2.0,11.0,,,6.0,,15.0,,,,,,15.0,,12.0,,,,,,,,,,,18.0,,12.0,,13.0,,,,,,,,,,,,,
command_10,,4.0,6.0,,,17.0,6.0,,,2.0,,,,,,,,,,,,1.0,13.0,13.0,,,,,13.0,4.0,9.0,8.0,,,,,,,6.0,,,13.0,,,,2.0,,6.0,,,,,,,5.0,,,,5.0
command_11,,,,,,6.0,,,,,,,,,,,,,,,,,17.0,14.0,,,,,16.0,,6.0,,,,,,,,2.0,,,8.0,16.0,11.0,,7.0,,,,,,,,,7.0,,,,
command_12,,,1.0,,,9.0,,,,5.0,,4.0,,,,1.0,3.0,2.0,1.0,,,5.0,7.0,2.0,,5.0,5.0,,2.0,,13.0,1.0,,,,,,8.0,,,,10.0,8.0,4.0,,17.0,1.0,,,5.0,,,1.0,,,,,,1.0
command_13,,,2.0,4.0,,19.0,,,,8.0,,,3.0,,1.0,6.0,,1.0,2.0,2.0,,,6.0,5.0,,7.0,,,1.0,,14.0,2.0,,1.0,,4.0,,2.0,,,,19.0,10.0,2.0,,5.0,2.0,,,6.0,,1.0,5.0,2.0,,,3.0,,
command_14,,,8.0,1.0,1.0,15.0,,1.0,,7.0,,3.0,1.0,,,,,4.0,5.0,,,,1.0,,3.0,3.0,2.0,4.0,7.0,1.0,5.0,3.0,4.0,,,3.0,5.0,1.0,,1.0,,5.0,4.0,1.0,2.0,10.0,3.0,3.0,,2.0,,,3.0,1.0,,1.0,4.0,1.0,4.0
command_15,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,16.0,15.0,,,,,17.0,,2.0,10.0,,,,,,,3.0,,,6.0,13.0,10.0,,8.0,,,,,,,,,1.0,,,,8.0
command_16,1.0,,5.0,,,18.0,5.0,,,3.0,,,,,,,,,,,,,14.0,12.0,,4.0,,,14.0,,8.0,6.0,,,,,,,4.0,,,12.0,,,,3.0,,1.0,,,,,,,,,,,6.0
command_17,3.0,2.0,,,,1.0,,,,,,,5.0,,,,,5.0,,,,,18.0,10.0,,,,,18.0,5.0,1.0,9.0,,,,,3.0,,1.0,2.0,,9.0,12.0,9.0,,6.0,,,2.0,,,,9.0,,2.0,,,,9.0
command_18,,3.0,4.0,,,16.0,4.0,,,4.0,,,,,,,,,,,5.0,,12.0,11.0,,1.0,,,12.0,3.0,7.0,7.0,,,,,,,5.0,,,11.0,,,,1.0,,7.0,,,,,,,6.0,,,,7.0
command_19,,,,,4.0,8.0,,,,,,2.0,,1.0,,7.0,,8.0,,,2.0,3.0,8.0,8.0,2.0,6.0,4.0,1.0,10.0,,16.0,,2.0,,3.0,,2.0,4.0,,4.0,1.0,2.0,2.0,8.0,,11.0,,5.0,,,1.0,,7.0,,,,,3.0,
command_20,,,,,3.0,7.0,,,,,,,,3.0,,9.0,,9.0,,,1.0,,9.0,9.0,,,,2.0,11.0,,15.0,,3.0,,,,1.0,5.0,,3.0,2.0,3.0,1.0,,,12.0,,4.0,,,2.0,,,,,,,,
